m/z 35.00 ch3;37/21;Relative Time
2.117614213;6.236120883;0.756
2.190967544;6.102689394;1.512
1.956711348;6.237698677;2.268
2.151530908;5.876602478;3.026
1.766082175;6.576876018;3.782
2.947814128;5.725642196;4.538
1.284466569;6.099051623;5.163
2.517218612;5.821201919;6.051
2.17540872;6.065366938;6.807
2.376222424;6.233725198;7.563
2.367812153;5.967008057;8.32
2.009469165;6.335869437;9.077
2.480401374;6.090762134;9.833
2.468303726;5.970809199;10.589
2.751900637;6.315021981;11.345
2.586015884;6.047400476;12.102
2.717320375;6.255904073;12.858
2.648983784;6.044034774;13.615
2.631732509;6.116304328;14.371
2.660880031;5.910822113;15.127
2.039817807;5.89412564;15.884
2.129734997;6.22393421;16.64
2.356819672;6.383301802;17.396
1.984796756;6.524040032;18.153
2.015558462;6.078182018;18.909
2.451972213;6.164468891;19.665
3.108225864;6.219775605;20.423
2.133424118;6.010877832;21.181
2.737142024;6.003746158;21.937
2.478039914;6.037148153;22.694
2.429559727;5.83714846;23.45
3.012897047;5.795220301;24.206
3.279334779;6.010101;24.962
3.280700763;6.171562993;25.719
2.837532257;6.040381164;26.475
2.851191332;6.117045189;27.231
2.785283607;6.187892675;27.988
2.563958572;6.479025319;28.744
3.08827926;6.386024353;29.5
2.993237693;5.95907946;30.257
2.813247054;6.016895066;31.013
3.272056509;6.272622771;31.769
2.79259917;6.359778535;32.525
3.144948936;6.207554807;33.282
2.639895022;5.802943262;34.038
2.937230054;6.432188226;34.795
2.713295423;6.163774775;35.551
2.328402983;6.109903511;36.308
2.950830661;6.244283521;37.065
3.084925914;6.267465219;37.821
2.584903534;6.148274923;38.577
2.645048187;5.867867327;39.334
2.484482055;6.233189934;40.091
3.012194196;6.149262937;40.847
3.699220233;6.154935149;41.603
2.490936755;6.243634039;42.359
3.17055184;6.25695454;43.116
3.077329484;6.364537147;43.872
2.581707362;5.968442682;44.628
2.604766612;6.533813669;45.384
3.018144502;6.494144412;46.14
2.402151588;6.39300231;46.897
2.662216477;5.945115032;47.653
2.831801641;5.870936;48.409
2.791397387;5.853234031;49.165
3.287463271;6.127706436;49.922
3.455458191;6.054567704;50.68
2.531221665;6.055580588;51.436
2.632328397;6.25350621;52.192
2.527594115;6.206124934;52.949
2.934320791;6.083013778;53.705
3.071473904;6.510466713;54.461
2.945685094;6.174338214;55.217
3.317913196;5.845546015;55.974
3.098850357;6.147412025;56.73
2.730914087;6.508628341;57.486
2.501764375;6.231494893;58.243
2.376578187;5.540741163;59
2.968232684;6.089357008;59.756
3.291770256;6.271291053;60.512
3.157495915;6.133730912;61.268
3.020342507;6.55385884;62.025
2.854717079;6.223063511;62.781
2.721735033;6.214280047;63.537
2.230121991;6.087177519;64.294
2.685762;6.405445419;65.051
2.263056643;6.330302122;65.807
2.447695911;6.340819602;66.563
2.804193196;6.271054306;67.319
3.133179239;6.46711853;68.075
2.936690796;5.919010639;68.832
2.966093027;6.069307111;69.588
2.212047794;6.078368605;70.344
2.821110172;6.067536965;71.1
2.848921062;6.377434187;71.857
3.11498736;6.182010564;72.614
2.352422804;6.503235337;73.37
3.045991645;6.124967496;74.126
2.643621613;6.192895929;74.882
3.307697302;5.950999303;75.639
8.860071198;6.03285629;76.395
41.97895694;6.104094553;77.152
83.26924545;6.19381321;77.778
97.11629216;6.14749133;78.666
102.8841993;6.319181617;79.422
95.86621072;6.197533517;80.181
85.50670845;6.115953752;80.938
94.48565787;6.231775626;81.694
144.8630832;6.259115142;82.451
214.4978847;6.708016072;83.208
280.2893788;6.205699463;83.965
368.9468231;6.256902937;84.721
436.7050383;6.547920468;85.477
498.6739037;6.328505711;86.233
573.8661422;6.301457464;86.99
609.6530684;6.335010953;87.747
645.1150173;6.093293644;88.503
684.0031305;6.269686378;89.259
741.2331783;6.40886543;90.015
788.4866609;6.782273998;90.772
821.8405403;6.822724626;91.529
854.9013897;6.587326513;92.285
803.3916748;6.156903593;93.042
841.0010237;6.223831557;93.798
859.7282381;6.264106569;94.423
903.4800495;6.723847823;95.311
889.0750911;6.029900709;96.067
910.0673941;6.642624906;96.823
939.1026711;6.204873013;97.58
930.892175;6.728785363;98.336
926.5649084;6.250024975;99.092
946.2885931;6.642361795;99.849
956.8928101;6.417328963;100.605
1001.736796;6.590937826;101.362
977.6645439;6.759674347;102.119
977.8638589;6.453539206;102.875
941.0387872;6.569044092;103.632
897.3198498;6.046532293;104.388
931.9048065;6.206164038;105.144
969.6424485;6.62913845;105.9
1015.945068;6.92989248;106.657
946.0574984;6.151195229;107.413
1007.191099;6.894352757;108.169
960.4529367;6.625684616;108.926
992.1689472;6.336038455;109.682
1005.098594;6.724167869;110.438
995.7770126;6.344110279;111.194
1065.232132;6.756912713;111.951
999.5677081;6.42413236;112.707
1005.919818;6.375982303;113.464
1016.779954;6.587575568;114.22
1021.607199;6.691957965;114.976
1041.58445;6.553957382;115.733
1031.143822;6.746094698;116.489
1049.120744;6.65588556;117.245
1026.777439;6.355499701;118.002
1042.822616;6.798033775;118.759
1064.028167;6.541690259;119.515
1044.19634;6.743788816;120.272
1040.276173;6.648677539;121.028
1007.845035;6.376129187;121.785
1036.770313;6.596249052;122.544
1036.53716;6.521764747;123.3
1011.219633;6.66234561;124.056
1029.435374;6.345002495;124.813
1039.777343;6.541784755;125.569
1061.344745;6.443466699;126.326
1046.503967;6.590831187;127.082
1063.029864;6.547049256;127.838
1061.195652;6.580383041;128.594
1022.148358;6.071916946;129.351
1089.583131;6.609804297;130.107
1070.644411;6.485529964;130.863
1032.656402;6.728095099;131.62
1052.638743;6.599936199;132.376
1047.309133;6.351557007;133.133
1069.379083;6.774655614;133.889
1029.005636;6.35810122;134.645
1059.805328;6.583432986;135.401
1070.349734;6.843563677;136.158
1103.807782;6.625372849;136.914
1045.609515;6.617608091;137.671
1072.103243;6.467686289;138.427
1014.286287;6.249490514;139.184
1054.607573;6.360448013;139.94
1086.499117;6.799133995;140.696
1075.90782;6.787825831;141.453
1060.259124;6.476848033;142.209
1042.830946;6.359675256;142.966
1063.071677;6.681439497;143.722
1085.983311;6.59215525;144.478
1109.297541;6.642296864;145.234
1038.85714;6.082095554;145.99
1071.820218;6.525785068;146.747
1110.890459;6.907862832;147.503
1101.122406;6.470882335;148.261
1041.993595;6.125878941;149.019
1129.464709;6.817570839;149.775
1091.101118;6.528913626;150.532
1099.57185;6.385403818;151.288
1079.841804;6.691853874;152.045
1066.935025;6.720548583;152.801
1099.083695;7.029109292;153.557
1128.328356;6.782795486;154.314
1068.336959;6.42984936;155.07
1087.395544;6.490091877;155.826
1126.431499;6.548937891;156.582
1093.973769;6.241781601;157.208
1097.013819;6.718705411;158.095
1084.860911;6.846995196;158.852
1125.100817;6.889218038;159.608
1070.223208;6.15848014;160.365
1095.467595;6.227674075;161.122
1061.100971;6.26651821;161.878
1151.239272;6.888604208;162.635
1128.138857;6.636469422;163.392
1104.820877;6.36763827;164.148
1119.864919;6.423807523;164.904
1103.503969;6.596144887;165.661
1132.161106;6.936392012;166.417
1122.921104;6.921031002;167.175
1108.412723;6.133471011;167.932
1078.155759;6.195250252;168.688
1130.225564;6.829958782;169.444
1153.135385;6.828627358;170.201
1106.645032;6.428282136;170.957
1170.712745;6.869793764;171.714
1163.430499;6.706396322;172.47
1131.135546;6.455145577;173.226
1118.320112;6.449914341;173.983
1094.523455;6.2725492;174.739
1134.517943;6.544741043;175.495
1112.748032;6.157965344;176.252
1133.206922;6.625140093;177.008
1089.338197;6.380153667;177.764
1115.190973;6.496247664;178.521
1104.813991;6.348116695;179.277
1122.96769;6.503334037;180.033
1122.86249;6.614793369;180.79
1164.808193;6.706501609;181.547
1154.396239;6.844511417;182.303
1108.944898;6.395677019;183.06
1127.28688;6.668171675;183.816
1185.589321;6.888300664;184.573
1123.956851;6.416209358;185.329
1095.155257;6.337753873;186.085
