m/z 35.00 ch3;37/21;Relative Time
1.510038212;8.016602017;0.756
1.600943946;7.85063707;1.512
1.974839603;7.785679784;2.269
1.285363994;7.278220467;3.025
1.426085496;7.959023854;3.782
1.282401258;7.160010914;4.538
1.408043803;8.232751184;5.295
2.055824664;7.932887126;6.051
1.581605153;7.768547896;6.808
2.240986705;7.844574086;7.566
1.674951186;8.33336975;8.322
1.281046643;8.07456735;9.078
1.637083183;7.825116264;9.834
2.011311956;8.17047125;10.591
1.711890184;7.84741747;11.347
1.363223255;7.795119085;12.103
1.442634422;8.085653068;12.86
1.46387827;7.73330523;13.616
1.34243788;7.938609249;14.372
1.622011522;7.905473819;15.129
1.572510968;8.31202948;15.885
1.405992847;8.225291306;16.641
1.502527562;8.207762867;17.398
1.341684737;8.071592145;18.155
1.368314382;7.891404696;18.911
1.752728006;7.881593991;19.667
1.656254625;7.645709543;20.423
1.441669044;8.099472572;21.18
1.583521059;7.714051834;21.937
1.484136855;7.840624293;22.693
1.020391899;7.905569676;23.449
2.189146107;8.379314301;24.206
1.257680391;7.954044981;24.963
1.735101327;7.798920237;25.719
1.612853957;7.609723718;26.476
1.878977308;7.999082101;27.232
1.698550576;7.716458591;27.99
1.205755335;7.689218114;28.746
1.469419533;7.999087921;29.502
1.581042613;7.892517767;30.259
1.62016626;8.083329043;31.015
1.543355112;8.137337894;31.772
1.585863271;7.810790283;32.528
1.637163989;7.620403308;33.284
1.568710227;8.127694159;34.041
1.312443959;7.591928529;34.797
1.174693205;7.69585883;35.554
1.271997294;8.247652914;36.31
1.373760637;7.966699991;37.066
1.453817243;7.539749151;37.822
1.354572726;7.910680466;38.579
2.131634541;7.963962962;39.335
1.306970115;8.10801547;40.093
1.272581848;7.915745564;40.85
1.244370289;7.658022991;41.606
1.410819127;7.863564054;42.362
1.038374468;7.842355359;43.118
1.35511623;7.912017534;43.874
1.383876265;8.032584523;44.631
2.012610198;8.002853338;45.387
1.982675382;8.144315776;46.144
1.575314272;7.484418706;46.9
1.718749547;7.654127407;47.656
1.231374202;7.98805891;48.412
1.189115692;7.739813571;49.168
1.837244909;7.979061805;49.924
