m/z 35.00 ch3;37/21
2.14887081;6.962044492
2.368869024;6.454015883
1.912518501;6.016061247
1.319413939;6.355894266
1.661517963;6.395210474
1.295705432;6.28961117
1.440515866;6.511647753
0.975224079;6.404870605
1.548001723;6.617068757
1.782931294;6.489379752
1.184915279;6.56027891
1.965602125;6.38780146
1.349936671;6.392466996
1.62329347;6.364248311
2.234822823;6.77161981
1.265110535;5.90490494
1.472781628;6.436261027
2.092311133;6.481500075
1.706059245;6.204640681
1.520117488;6.618177743
1.101560936;6.220388512
1.255539608;6.447819328
1.271507583;6.671123846
1.037935208;5.991066171
1.132139477;6.320647839
1.518099132;6.50764184
0.893851539;6.25419853
0.964610658;6.384428603
1.22379506;6.457929363
1.577944658;6.472556004
0.983985327;6.319194269
1.015039703;6.392254722
0.798938184;6.453506302
1.956984895;6.318260803
2.246417822;6.095505447
3.814906382;6.82727513
3.879076625;7.041319571
2.156233961;6.225824609
2.169122497;6.308306378
1.892598599;6.576354495
1.751789274;6.211830567
1.39563169;6.462784342
0.891166587;6.424785263
1.042763405;5.878220154
0.244986975;6.302000554
0.809768562;6.62102446
1.768331634;6.851871737
1.935926093;6.440251896
1.713282034;6.252339999
1.133157804;6.86186246
0.669743898;6.124937518
0.827444948;6.615709941
0.75992791;6.786206149
1.113689299;6.133438226
0.371677214;6.727057591
1.13386368;6.737138925
1.084761326;6.673379652
0.915826475;6.470606842
0.986486315;6.33378059
0.806193809;6.292952931
0.963106255;6.184809874
0.650996909;6.798656245
0.970071624;6.7343004
1.087138827;6.4921311
0.872325577;6.493186501
0.739908936;6.378991862
0.954745867;6.015102334
0.607947003;6.157810624
0.690714377;6.662305272
1.179538138;6.134908978
1.138120922;6.459728366
1.20501995;6.730916607
0.741357951;6.440148496
0.543469973;6.283202377
0.740990367;6.262122306
0.436162907;6.512705107
0.858969876;6.396934701
1.346955467;6.154380245
1.389168603;6.393136042
1.041934131;6.206692558
0.940976915;5.819151053
1.559854601;5.991205256
1.333093891;6.744051513
1.254716918;6.384533556
1.18399552;6.484038118
1.063400441;6.666685036
0.925465583;6.184652108
0.75193837;6.839705318
0.923765243;7.094570132
1.299387126;6.764126297
1.517206927;6.618057599
1.524763161;6.769645527
1.116240055;6.559861848
1.049604826;6.466131676
0.912727937;6.783524698
0.936760652;6.391092697
0.985034228;6.431364959
0.684703974;6.47788273
1.050157811;5.911896107
0.992979246;6.215881559
1.096670921;6.666685067
1.19077856;6.52661103
0.923295226;6.585070901
11.87176204;6.420558719
882.1791431;6.588327907
2014.06276;5.278848153
2447.744607;4.973418127
2807.417404;4.685970833
2782.300574;4.247503944
2895.782403;4.252884896
3137.777514;4.011473389
3159.44192;4.327003756
2985.486491;3.795821144
3049.992555;3.600008376
3262.039191;4.050732435
3302.955527;3.54081231
3419.296309;3.663378112
3175.29606;3.588246843
3554.068544;4.014505544
3314.109398;3.734950885
3467.526862;3.716701144
3472.439621;3.543967331
3582.134466;3.739387819
3468.554783;3.399462862
3450.216085;3.387433574
3630.160631;3.42717335
3600.630658;3.548623021
3457.451613;3.306728862
3825.750381;3.501473094
3594.963533;3.537520573
3662.774147;3.294045638
3685.197013;3.768329691
3625.72485;3.586967093
3674.119027;3.09541075
3717.806658;3.449004787
3753.661869;3.592992686
3789.926884;3.400989687
3779.645706;3.623099796
3648.41761;3.441088156
3800.924194;3.445386839
3792.301449;3.065753367
3725.204487;3.303702827
3739.670408;3.185850022
3663.033855;3.196510439
3796.850175;3.201672899
3735.04108;3.367427536
3713.364047;3.131322993
3588.56032;3.21615494
3785.393922;3.315190525
4024.132908;3.511185162
3771.046051;3.042300752
3818.445889;3.148916215
3980.59847;3.243445693
3695.035262;3.01640182
3994.226715;3.490375004
3908.755385;3.144663668
3935.0769;3.505959547
3772.912514;3.22798545
3752.167439;3.157552791
3732.121059;3.113029388
4037.568025;3.519725447
4019.933523;3.196904431
3865.741553;3.340104629
3982.299332;3.379705097
3934.976226;3.515581225
3823.005189;3.067658015
3827.181714;3.184894676
3834.485216;3.230157773
3814.121907;3.112013985
3938.474706;3.416677399
3945.43613;3.305794006
3918.350509;3.139940302
4031.034813;3.553845676
4012.062988;3.213055103
3978.110026;3.273364562
3993.575446;3.268976499
4065.201508;3.455582939
4109.766524;3.668102047
3947.953434;3.180268638
4101.201129;3.335694217
3961.875486;3.517392055
4079.119491;3.090408645
4002.341473;3.379321246
3987.662656;3.420162079
3955.314903;3.261027068
4112.670567;3.101764343
3964.131394;2.964489892
3874.950923;2.90366242
4019.71719;3.056717195
4094.871437;3.143868992
3968.808689;3.299049757
3896.405994;3.107128352
3979.594022;3.130146326
3967.707484;3.086344622
4104.563857;3.530249364
4029.302451;3.305564287
4028.625645;3.459432361
3745.509563;3.344791622
3157.595962;3.289149871
3161.082785;3.926230556
3071.177391;4.157837919
3020.711841;4.278123081
2981.757831;5.016985479
2932.901975;4.645788431
2649.294728;4.595281593
2680.794896;5.009500173
2741.170665;4.91504644
2799.561786;4.828735068
2767.836521;4.947587803
2764.196403;4.807329181
2851.799016;4.908612742
2678.908431;4.471198907
2781.42327;4.82873403
2763.634048;4.760039011
2853.24573;5.321053685
2829.918082;4.932719477
2620.424679;4.794538135
2777.307834;4.609335542
2920.373283;5.09305373
2691.229273;5.035114308
2812.196703;5.136954359
2758.301382;4.630973046
2809.528404;4.970270583
2723.655;4.772739813
2743.626037;4.793560464
2888.488245;4.972877311
2805.983192;4.820156212
2817.683166;4.83191992
2758.339469;4.442281604
2725.419232;4.835813252
2663.718968;4.637416867
2757.468018;5.091517939
2762.530983;5.042524861
2747.018951;5.219402885
2752.112898;5.003309315
2748.23981;4.898105258
2773.405721;5.032909305
2897.678054;5.109905934
2670.497822;4.901475819
2754.769855;4.947383015
2721.079259;5.088771818
2727.311324;5.125510319
2747.012986;5.183715371
2640.063456;5.30402709
2749.274624;5.61226051
2780.581661;5.119794382
2625.151129;5.000015625
2589.61395;5.161306024
2648.255108;5.022995977
2647.200824;5.019881388
2607.020619;5.288729648
2487.093873;5.094711644
2540.003202;5.625822867
2600.434186;5.490471603
2529.331079;5.437155324
2542.596848;5.258413164
2517.816335;5.741702832
2494.648488;5.486573935
2449.992451;5.034322952
2520.153378;5.577937027
2469.207496;5.384628733
2546.951591;5.373446587
2437.012559;5.544384832
2469.544303;5.316872403
2470.646453;5.433832866
2572.824898;6.118217296
2378.014597;5.102053324
2498.427511;5.858469421
2457.021505;5.894752316
2366.12238;5.91453523
2306.618343;5.665008282
2283.543281;5.806873274
2213.589724;5.668319358
2315.78388;6.073714957
2266.811775;5.518335425
2261.919877;6.109037304
2286.205944;6.190193658
2178.719848;6.155281145
2240.885259;6.887228146
2251.741145;6.586621255
2201.165685;6.297230243
2243.334564;6.235090493
2074.240221;5.988268084
2201.830091;6.520119156
2202.899131;6.33335178
2158.923304;6.607487799
2162.678769;6.315806048
2160.237337;6.36477722
2130.79257;6.674796047
2219.819962;6.878630485
2182.249422;6.681407366
2101.322198;6.588062229
2085.810651;6.500628123
2170.540626;6.91187731
2182.135149;7.136470367
2102.775208;6.726172789
2044.597299;6.713619133
2040.955768;6.893004187
2038.331626;7.455357734
2045.008977;7.599524981
2014.371794;7.220893704
2016.973794;8.077913751
1967.512978;7.369101814
1955.12908;7.978051376
1883.624935;7.241822418
1865.873852;7.719852954
1932.652175;7.99263823
1955.102244;7.93811983
1874.24728;7.969159938
1888.632795;8.096444683
1904.351503;8.254494326
1817.88719;8.156070843
1837.888497;8.29155619
1863.612344;8.293901253
1910.876101;8.544561735
1990.179718;9.185310983
1872.372368;8.753874421
1835.032846;8.125418912
1859.315613;8.948381973
1920.57312;9.392042791
1817.325026;8.774068782
1902.173521;9.680127005
1864.539534;9.408493129
1819.800539;9.285758054
1781.403888;9.343910168
1746.272087;10.03604715
1684.209484;9.226765684
1751.896543;9.188715823
1725.358331;9.721765998
1752.843429;11.00188567
1624.964894;9.722601014
1672.3833;10.46812386
1741.311876;11.04603022
1706.203585;10.74510074
1651.896195;10.99640486
1597.09363;10.66087016
1628.706693;11.01985626
1598.50054;11.12491855
1638.336564;11.26883429
1601.409033;10.68748329
1618.162497;10.66948714
1593.757153;11.12417699
1620.336748;11.10983714
1626.888155;11.60370076
1569.362062;11.06687633
1617.443923;12.01457537
1585.604776;11.58499122
1561.187294;11.59719824
1582.433451;11.96648103
1583.281786;11.9769454
1555.741801;11.47847548
1531.388906;11.86555756
1557.801022;12.29939377
1459.079058;11.15045233
1519.818992;12.04791042
1497.086729;11.64936465
1525.432509;11.77822745
1579.884775;12.47115493
1574.703831;12.25734414
1565.252576;12.75971581
1524.993145;12.74737886
1511.970237;11.57747686
1530.63685;12.43346555
1481.327819;12.22421462
1472.349028;11.88837552
1441.292656;11.91483793
1560.043938;12.36260067
1509.769344;12.30277239
1515.372007;12.83703119
1535.384701;12.93172477
1515.949056;11.75403816
1590.220893;13.24615327
1489.110254;11.88378477
1544.114795;12.47155069
1415.742747;12.1484508
1512.55103;12.79886963
1534.507103;12.77618774
1485.779835;12.4490436
1478.872868;12.19026267
1564.875884;12.780232
1465.841694;12.05208392
1583.961522;13.65460504
1492.934117;12.67414535
1440.879893;12.32564251
1547.292783;13.36791058
1499.259164;12.92864401
1480.149042;12.76029876
1514.806449;12.6203933
1472.205385;12.60320378
1502.481373;13.89524932
1421.335006;12.50576036
1458.217203;13.03945978
1534.79482;13.88997121
1491.726646;13.19746651
1424.595473;12.80432262
1461.332219;13.59518213
1499.423677;13.35560688
1510.963273;13.68393999
1445.593404;13.34692062
1395.97913;12.66335213
1429.861747;13.10076108
1477.959554;13.69935411
1525.659953;14.5662041
1415.697042;13.84489986
1401.727365;13.6785577
1505.842142;14.92974539
1459.871004;13.95245416
1405.79505;13.89382988
1400.563272;13.47907517
1397.59631;14.12963314
1417.284814;14.55829556
1396.668967;13.63748578
1421.999335;14.73291108
1466.806322;15.09163426
1420.609791;14.95022094
1371.635212;14.43821318
1404.311703;15.22079912
1352.402782;14.05673146
1347.344058;14.23127538
1459.43066;16.10881242
1348.996246;14.5325711
1386.853735;14.44841736
1395.980467;14.44970802
1366.521575;15.10036209
1342.012608;15.43273705
1430.444365;15.27204744
1300.249847;14.39652407
1419.265537;15.92357064
1400.387617;15.48511126
1355.171328;14.84525778
1411.5031;16.00128148
1375.78284;15.7833542
1354.802169;15.35640249
1315.668589;14.70131152
1350.934209;15.58173835
1352.245728;15.65224815
1302.148553;14.76009868
1328.505085;15.45875791
1380.997785;16.55017929
1310.376335;14.98044345
1374.632595;16.54329567
1345.351426;16.07441243
1328.985512;15.88946814
1397.680723;16.79579807
1299.903168;15.44297729
1351.671051;15.48319706
1314.509184;14.95767514
1367.00055;15.49542777
1411.504839;16.30120755
1399.853058;16.54662645
1355.204995;15.20852982
1375.596991;16.30025988
1364.388774;15.83966119
1360.929269;15.91689867
1371.457684;15.64747637
1339.624494;15.49439872
1327.824078;15.46033176
1333.274815;15.61220822
1357.822713;16.59856799
1341.582186;16.01285375
1347.815868;16.24863865
1348.824687;16.70740085
1321.731629;16.08185559
1315.765938;16.15348805
1341.205135;17.00125849
1368.727002;16.9335861
1362.563431;16.38356227
1340.423861;16.70548955
1361.353978;16.56258234
1316.33817;16.11404088
1297.140584;16.10310457
1370.232177;17.28690701
1289.455391;16.85510796
1292.72397;16.53724248
1296.369462;16.87648099
1284.257492;16.01698249
1286.340338;16.08554175
1273.416136;16.34667092
1264.390265;16.1985152
1274.841884;16.67238433
1341.884185;17.66953444
1292.920918;16.92095546
1314.729833;17.76111645
1300.113137;17.32068663
1259.710417;16.32083446
1248.11684;16.87164975
1270.841841;17.05824071
1257.023091;17.23700574
1272.997916;17.43932795
1250.827049;17.45828015
1264.899734;17.36612941
1270.772679;17.33833167
1283.965068;17.04917454
1262.609713;17.36968056
1296.496691;18.12580806
1281.781458;17.90573208
1263.885292;17.08482731
1281.707776;17.65186706
1216.150285;17.28125985
1232.48707;18.01680219
1251.177045;17.42017105
1258.185849;18.55041296
1251.175107;17.81347122
1214.960866;17.47135481
1259.911712;17.36173855
1284.683507;18.36910009
1268.09666;18.77946577
1270.556975;17.64343432
1246.547415;17.82811926
1254.799253;18.13896702
1304.456417;19.18975956
1290.742495;18.60689701
1284.818201;18.38457721
1293.092;19.50505375
1278.694751;18.92514007
1263.56987;18.46119832
1233.330041;18.25317631
1295.23919;19.16435049
1267.944693;18.74866085
1279.929708;18.53372291
1205.461278;17.61526279
1249.410396;18.36465218
1265.302172;18.93714059
1236.085677;18.23077179
1275.273887;19.87757736
1216.338275;18.51107776
1241.628682;18.68564044
1194.288109;18.14519964
1238.408474;18.51299575
1228.012604;18.85497258
1245.496122;18.45370251
1202.783148;18.71192737
1260.869033;19.08002307
1299.280524;20.6945454
1236.479429;19.65449518
1201.539606;18.829473
1213.055435;19.28944427
1228.852548;20.05104462
1218.516356;19.97777219
1295.979878;21.13443545
1292.631265;20.36041536
1256.382884;20.56919927
1255.800384;19.98269859
1231.849448;19.20734751
1216.038905;18.6884323
1228.228679;19.07417577
1202.982514;19.46497595
1238.514428;20.10452456
1248.575842;19.4407326
1224.857904;20.10799142
1245.66751;20.06962714
1285.998594;21.26653066
1225.40443;20.09825626
1207.852459;18.87349473
1301.967733;21.05466
1226.595422;18.89840406
1222.077373;20.21811064
1152.416338;19.57779689
1201.312979;19.36845534
1187.571474;19.87815203
1181.553942;19.90539249
1164.493296;19.15348344
1174.410765;20.11729235
1198.379917;20.65313683
1235.175254;21.77412501
1213.31283;20.67944125
1139.265501;20.60992595
1182.607806;20.07835907
1143.556979;20.42038858
1178.262994;20.3789256
1173.183008;20.6989325
1163.083023;19.96138883
1171.519652;20.55194437
1128.951906;20.56705418
1192.335853;21.71718179
1230.275828;21.48589882
1167.158905;20.55472105
1190.151156;21.96055881
1147.578431;20.57965569
1192.049251;21.55579921
1157.165995;20.49514612
1099.460648;20.07319758
1210.486897;21.99665273
1166.97445;20.38089467
1201.926707;21.33306225
1193.88416;21.11184852
1164.415523;20.91882011
1174.964617;20.98775597
1133.095329;20.77057332
1181.056431;21.27211128
1134.251153;20.95144562
1150.338191;20.56019424
1143.670286;20.97584626
1176.50615;20.81540618
1128.95585;20.622037
1168.220703;21.22045307
1114.976922;20.45828624
1193.902181;22.07384858
1113.327004;20.77555385
1158.315141;22.31774083
1172.449727;21.44393025
1150.689031;21.5508761
1124.588325;21.00882915
1167.802533;23.03911088
1114.381446;21.61335295
1167.865705;22.97201681
1175.572941;22.68233772
1146.51921;22.3582819
1149.758624;22.75011228
1149.615977;22.71367452
1137.259883;22.96798795
1145.611845;22.07042165
1146.82499;22.81262057
1132.375485;23.25239922
1161.230962;23.7465698
1117.183532;22.13869252
1124.266194;22.31457929
1146.410672;23.30011094
1150.153269;23.22917842
1096.48843;21.14002131
1093.6656;21.92032287
1159.271022;23.17578157
1130.921088;22.79132984
1177.237362;23.39829373
1132.011746;22.33435103
1118.480819;22.71683688
1157.337871;23.70319445
1138.590344;22.46412897
1084.076327;22.00541759
1176.608395;23.46342781
1121.680035;21.9225528
1136.608736;22.66420541
1125.993712;21.7842542
1138.271744;22.46532343
1130.653547;22.28833995
1119.592028;22.11549061
1166.775746;23.24913083
1153.551179;22.53962199
1120.842131;22.44467777
1149.937641;22.38213473
1156.007434;22.43361577
1194.089316;23.69642712
1141.641243;23.27752078
1188.767016;24.23452916
1138.400199;22.86756082
1145.954239;22.9449339
1141.833056;23.12653378
1089.886406;22.79271656
1183.231147;24.42320499
1106.051876;23.61774184
1125.249054;23.1672528
1186.435432;24.39221427
1106.267803;23.20630289
1126.722378;23.27253741
1141.939382;23.0290655
1100.593412;23.16777556
1107.822203;23.20797357
1082.991929;22.75504486
1115.46655;23.07999793
1093.130394;23.88809317
1104.347331;23.92556069
1097.503627;23.45386191
1093.868467;22.90049973
1151.858092;24.7066873
1080.239943;23.29064303
1241.959065;24.87710719
1192.086858;27.44951117
1100.767547;27.16851465
1109.917856;29.43261084
1049.629997;28.38266699
1002.830491;28.96964373
1084.082223;31.41664797
1067.443749;29.89886227
991.8538802;28.69327347
1038.914849;29.69860042
1028.153258;29.97803533
1021.617576;30.94312768
1013.47181;30.85527361
1001.932901;30.77557944
1014.865193;32.44521888
994.0109362;31.29585294
998.9641855;32.09254466
987.8173429;30.88219724
970.2691788;30.46216391
953.5772597;30.50699514
1002.080308;32.22539907
940.8109179;30.33797883
1020.163809;32.54491005
997.4746845;31.70520669
1006.672831;31.1762915
968.7585533;29.80108508
990.7860325;29.71611474
1027.54242;30.81781859
1012.427982;30.12550353
1050.53698;30.85698683
1003.512008;28.71549061
974.4283513;27.34475708
1054.568093;29.55371182
1049.5832;30.06821505
1030.426263;29.17359837
964.0029005;27.73224272
1054.024023;29.08752292
1015.643933;29.85300946
1007.974397;29.26119724
1017.424893;30.41363105
986.6267579;30.75681524
1025.626556;30.47131966
1009.019911;30.60636233
983.0797054;29.04346808
1022.251927;30.0166725
1009.656306;30.04375064
1041.705577;30.78610347
949.9400911;27.95279444
1005.907185;30.585175
970.1566722;30.11049964
1016.424784;31.49600819
969.3656934;29.87825479
976.2521268;30.28161894
1012.686138;31.94443564
1010.986247;32.30320077
1013.093847;31.87826462
1010.199485;32.66536342
993.8583291;32.30620092
962.935049;32.36096277
963.2423593;32.41265712
977.7722616;33.18493458
954.4130652;32.51493083
1004.754847;33.30589804
946.0186847;32.51600414
929.0869445;32.3245131
961.1459566;32.25941828
963.502701;32.5470705
953.1380807;32.17703669
951.6240938;30.26548919
959.9860522;31.85335531
946.0699767;31.2995125
979.658552;32.31618819
930.6175315;30.52838538
935.7766815;29.97944664
969.1922592;32.63904927
954.4579526;31.03155284
943.7422448;30.49101027
990.8816409;33.33533686
979.3188978;31.23538788
965.609727;31.08745831
961.8151333;30.89205886
993.9196234;31.44870829
974.6088164;29.71897667
982.2688678;30.78990794
1038.17905;31.52225197
991.3556278;30.24851638
992.4453539;29.76509872
1009.122429;31.30615765
964.8887481;29.30525037
1006.371364;29.22432338
988.860441;30.04263707
1003.60487;30.78317419
1014.725655;31.88996153
1006.037661;32.84069548
983.271148;32.21220505
999.1333909;33.18468883
965.4225272;32.39204026
967.9608176;33.3800653
