Concentration in g/m^3,Time in h
5.7467517924131465e-06,0.00021
2.155939882496694e-06,0.00042
4.236282223931684e-06,0.0006302777777777778
9.88662072892504e-07,0.0008402777777777778
4.895347626804275e-06,0.0010502777777777778
3.068264151752248e-06,0.0012602777777777777
2.1160835892848924e-06,0.0014708333333333333
2.012331451948421e-06,0.001681111111111111
2.0714602585206987e-06,0.001891111111111111
1.9785232860596305e-06,0.0021011111111111113
2.077248855670514e-06,0.002311111111111111
4.163075116550256e-06,0.002521111111111111
2.0101770321033977e-06,0.002731388888888889
8.328088160116584e-06,0.0029413888888888892
2.1447612966146744e-06,0.0031516666666666668
0.0,0.003361666666666667
3.0798181987312138e-06,0.003571666666666667
2.09902167912486e-06,0.0037819444444444445
3.1824124482578e-06,0.003991944444444445
3.994587922009112e-06,0.004202222222222223
4.007117188136923e-06,0.004412222222222222
9.909984606199174e-07,0.004622222222222222
3.167165688029481e-06,0.0048325
1.0134171169801784e-06,0.005042777777777778
0.0,0.005252777777777778
3.2473139670639914e-06,0.005462777777777778
2.1043826206193943e-06,0.005673055555555555
1.0701177774784723e-06,0.0058830555555555554
1.017278804720317e-06,0.0060930555555555556
2.0592846479905273e-06,0.006303611111111111
1.0547821500040832e-06,0.0065138888888888885
1.072552586328126e-06,0.006723888888888889
0.0,0.006933888888888889
2.0285402811197243e-06,0.007143888888888889
3.3777011513693707e-06,0.007354166666666667
1.001775281216764e-06,0.007564166666666667
3.062875112495722e-06,0.007774166666666666
3.227748662687041e-06,0.007984444444444445
3.067684593061668e-06,0.008194444444444445
1.0268713793869466e-06,0.008404722222222223
2.179079500967296e-06,0.008614722222222223
5.297852520314007e-06,0.008824722222222222
8.607053688145759e-06,0.009034722222222222
3.2089478868158585e-06,0.009244722222222222
1.0096986267895083e-06,0.009455
4.102037208543602e-06,0.009665277777777778
6.146122320994052e-06,0.009875277777777778
1.0513313238265026e-06,0.010085277777777778
9.861293966567356e-07,0.010295555555555556
3.0231314086750466e-06,0.010505555555555556
3.029527513821612e-06,0.010715555555555556
1.037964250387797e-06,0.010925833333333333
3.010592725393922e-06,0.011135833333333333
1.9560149618618674e-06,0.011345833333333333
1.0238320673067187e-06,0.011556388888888889
0.0,0.011766388888888889
3.017263348309107e-06,0.011940000000000001
1.0255254242040598e-06,0.012186666666666667
2.09266277577302e-06,0.012396666666666667
2.1329099677602127e-06,0.012606944444444443
1.0060295068963178e-06,0.012817222222222223
1.004127751651741e-06,0.013027222222222223
2.137748131564003e-06,0.013237222222222223
3.0605393450113816e-06,0.013447222222222222
0.0,0.013657222222222222
1.0414501747273938e-06,0.013867500000000001
3.0999654737088403e-06,0.0140775
4.086315836439358e-06,0.0142875
4.252377793274256e-06,0.014497777777777778
1.072318797386399e-06,0.014707777777777778
9.94609030972417e-07,0.014918055555555556
9.660322019022986e-07,0.015128333333333334
0.0,0.015339166666666666
3.0090078182920405e-06,0.015549722222222222
1.99854331413626e-06,0.015759722222222224
2.179253768730004e-06,0.015969999999999998
1.0399271084322782e-06,0.01618027777777778
3.182067306081215e-06,0.016390277777777778
4.054878492208226e-06,0.01656388888888889
4.032116299984996e-06,0.016810555555555554
1.9874253817339857e-06,0.017020555555555556
3.0127015635961895e-06,0.017230833333333334
1.0534970339574211e-06,0.017440833333333332
2.8734377994136603e-06,0.017650833333333334
4.070429427565468e-06,0.01786111111111111
3.0244307009784283e-06,0.01807111111111111
2.1422152075930245e-06,0.01828138888888889
2.0754406545208206e-06,0.01849138888888889
1.012726809267898e-06,0.01870138888888889
3.0094517419309814e-06,0.018911666666666663
2.0100098465792483e-06,0.019121666666666665
3.1060115006835723e-06,0.019331666666666664
2.0112049981659423e-06,0.019541944444444445
6.270094925164737e-06,0.019752222222222223
4.7973276814054405e-06,0.019962222222222225
3.882504323334744e-06,0.0201725
9.097178042331274e-06,0.020382499999999998
2.9800117642858175e-06,0.0205925
3.8103701401759597e-06,0.020802777777777778
9.885362860235637e-07,0.02101277777777778
1.0338590400294478e-06,0.021222777777777778
1.9939908086442338e-06,0.021433055555555556
4.075556624514917e-06,0.021643055555555558
9.772818877748844e-07,0.021853055555555556
3.9507028319751026e-06,0.02206388888888889
1.0465242969869218e-06,0.02227388888888889
9.925112115193417e-07,0.022483888888888887
2.038384271463755e-06,0.022694166666666665
9.89600610027597e-07,0.022904166666666666
1.0409359265275992e-06,0.023114444444444444
7.158121560269544e-06,0.023324444444444446
1.966585578442386e-05,0.023534444444444445
4.280616184820383e-05,0.02374472222222222
7.593652728594726e-05,0.02395472222222222
9.703628992853784e-05,0.02416527777777778
0.0002445412754547907,0.024375555555555553
0.0002768681831411001,0.024585555555555555
0.00031263434814044616,0.024795833333333333
0.0008611771297767668,0.025005833333333335
0.00166708000237373,0.025215833333333333
0.001551205222018758,0.02542611111111111
0.001984740359608999,0.02563638888888889
0.0027307059902403437,0.025846388888888887
0.003465323773224016,0.02605638888888889
0.0035845015824101547,0.026266666666666667
0.00339920621686233,0.026476666666666666
0.0037267696862599846,0.026686944444444444
0.004472236138398877,0.026896944444444442
0.00524779079459791,0.027107222222222224
0.0056711014127661654,0.027317222222222222
0.0059542604264747985,0.0275275
0.005487020397071229,0.027737500000000002
0.005675633340559488,0.027947777777777776
0.006361669407397747,0.028157777777777778
0.008250845841719055,0.028368055555555556
0.009355999989885587,0.028578055555555554
0.009087962262767013,0.028788055555555556
0.009333363929646156,0.028998333333333334
0.009694610095273986,0.029208333333333336
0.01046923159763936,0.029418333333333335
0.010251995189721716,0.02962861111111111
0.010239259621106295,0.02983861111111111
0.010995309819445324,0.03004861111111111
0.011745737615406957,0.03025888888888889
0.012728594076434304,0.03046888888888889
0.01235203927397154,0.030679166666666664
0.012155736266952788,0.030889166666666665
0.012665638690518186,0.031099166666666664
0.013008194616777905,0.031309444444444445
0.014776237218742067,0.03151944444444445
0.0152927387353026,0.03172944444444444
0.014818981084379046,0.031939722222222224
0.015016934422012343,0.032149722222222225
0.01631547791795494,0.03236
0.01685378324487477,0.03257
0.016956442316439443,0.03278
0.01853391642447584,0.03299027777777778
0.0168611326083023,0.03320055555555556
0.016865660723030782,0.033410555555555554
0.017672990945342214,0.033620555555555556
0.016551572579848888,0.03383055555555556
0.01782512893426199,0.03404083333333333
0.020258237676689148,0.034250833333333335
0.01960484937209737,0.03446083333333333
0.020212399367234395,0.03467083333333333
0.019879909489141995,0.03488111111111111
0.01969726508541309,0.035091111111111115
0.02034428476333892,0.03530111111111111
0.022757512125046963,0.035511666666666664
0.021663188480055544,0.03572166666666667
0.022918201737088813,0.03593194444444444
0.022665969160661444,0.03614194444444444
0.02301956754199138,0.03635222222222222
0.023231166034630844,0.03656222222222222
0.02346620747793592,0.03677222222222222
0.02469245381372108,0.0369825
0.02445369282236379,0.0371925
0.02434677239416501,0.03740277777777778
0.024842429458371697,0.03761305555555556
0.025527861442955727,0.03782305555555556
0.02601734683812111,0.03803333333333333
0.026922768383938592,0.03824333333333333
0.027223700126553774,0.03845361111111111
0.027715324670888497,0.03866361111111111
0.027506041331108864,0.03887361111111111
0.02923531446313819,0.03908388888888889
0.026848481710240523,0.039294444444444444
0.027402937460888517,0.039504444444444446
0.028000079974444647,0.03971444444444445
0.02825824184139844,0.03992472222222222
0.027520985318183634,0.040135
0.02855850334091682,0.040345
0.02899745099141175,0.04055555555555555
0.029055371602212554,0.040765555555555555
0.02825286502132183,0.04097555555555556
0.026128683056009697,0.04118555555555556
0.02879933876179877,0.04139583333333333
0.02832367728970585,0.041605833333333335
0.02946306251807839,0.04181583333333334
0.02883781178588899,0.042026388888888884
0.030787475743117392,0.042236666666666665
0.029683273882825007,0.04244722222222222
0.031219180813450913,0.04265722222222222
0.03122632264264803,0.04286777777777778
0.03031681631084363,0.043077777777777784
0.03074592502698397,0.04328777777777778
0.03157828977168769,0.043498055555555554
0.030660964163689346,0.043708333333333335
0.02975561047116583,0.04391861111111111
0.030667404987349767,0.04412861111111111
0.03317829614580037,0.04433861111111111
0.03056602013520097,0.04454861111111111
0.03151545654779473,0.04475888888888889
0.03189461643248654,0.04496916666666667
0.030913355455565696,0.045179166666666666
0.03183756949166962,0.04538944444444444
0.031652317907528496,0.04559972222222222
0.03178671840177496,0.04580972222222222
0.0325251515981666,0.04602
0.03333065411122606,0.04623
0.031715675414349845,0.04644
0.030617300725355078,0.04665027777777778
0.0328803219229468,0.04686027777777778
0.03236808060020974,0.04707055555555556
0.032424088652086645,0.047280555555555555
0.03284592465343044,0.04749055555555556
0.03287842906150468,0.04770083333333334
0.03356065458184999,0.047911388888888885
0.033428324164038084,0.04812138888888889
0.03438372650740587,0.04833138888888889
0.03155504769902049,0.04854194444444444
0.034370913749831276,0.048752222222222225
0.03193500324853333,0.048962222222222226
0.03353813770792882,0.049172499999999994
0.035263424543619276,0.049382777777777775
0.03308786874895519,0.04959277777777778
0.03397616105717836,0.04980277777777777
0.03466293833025684,0.050013055555555554
0.0332809797420156,0.050223055555555556
0.03402597383924097,0.05043361111111111
0.03333867696906918,0.05064361111111111
0.03301051260684007,0.05085388888888889
0.033682015831592256,0.051063888888888895
0.03463581064271064,0.05127416666666666
0.035112275250399484,0.051484166666666664
0.0332777937116441,0.051694166666666666
0.03348095929608177,0.05190444444444444
0.03501862166582334,0.05211444444444444
0.035267722452724866,0.052324722222222224
0.03382054505930681,0.05253472222222222
0.03303581612028135,0.05274472222222222
0.03463036929570534,0.05295472222222222
0.034771754285951785,0.053165000000000004
0.03518203162021253,0.053375
0.0349943825738531,0.05358527777777778
0.03701550739131633,0.05379527777777778
0.03542948119845548,0.054005277777777784
0.034640287982310045,0.05421555555555555
0.03348898099526082,0.05442555555555555
0.03423202144792557,0.05463611111111111
0.03560539391541974,0.05484638888888889
0.034209770301444085,0.05505638888888889
0.03544818663654203,0.05523027777777778
0.035247730753885556,0.05547694444444445
0.03453881031204978,0.05568694444444445
0.03572151307105215,0.05589694444444445
0.0370322193105978,0.05610722222222222
0.03621173146765184,0.05631722222222222
0.03720097433486862,0.0565275
0.036018080219274634,0.056737499999999996
0.03552123126673552,0.05694777777777778
0.03613495367835338,0.05715777777777778
0.036594855712746094,0.057368055555555554
0.03583920133626693,0.057578055555555556
0.03477908940033907,0.05778805555555556
0.03556276653667413,0.057998611111111105
0.03495524750188626,0.058208888888888886
0.03595996441962965,0.05841916666666667
0.03576255153309326,0.05862944444444444
0.035865109090772916,0.058839722222222224
0.03536489487218577,0.059049722222222226
0.036211585522969957,0.05925972222222223
0.03547032065697521,0.05947
0.03501569977149429,0.05968027777777778
0.036593498423793384,0.05989027777777778
0.03707024364827298,0.06010055555555555
0.035594941684169115,0.060310555555555555
0.0337464437799795,0.06052055555555556
0.036152150676196024,0.06073083333333333
0.036611728142274966,0.06094083333333333
0.03621731182230386,0.061150833333333335
0.035529189884660584,0.06136138888888889
0.03464585693095723,0.06157222222222222
0.035828850173308745,0.0617825
0.036208278378542375,0.0619925
0.03660818412067802,0.0622025
0.03575745966124086,0.06241277777777778
0.037798338802344435,0.06262277777777778
0.036339263891266294,0.06283277777777778
0.03789363528378215,0.06304305555555556
0.03901267253869112,0.06325333333333333
0.03721898038703156,0.06346333333333333
0.037868097197825155,0.06367333333333333
0.03634210677700713,0.06388361111111111
0.0352338924681214,0.0640938888888889
0.03647325793218276,0.06430388888888888
0.035590775442803264,0.06451388888888888
0.03659464076033782,0.06472388888888889
0.03699041395422454,0.06493416666666667
0.03607495016390997,0.06514416666666667
0.037364864671716534,0.06535416666666667
0.03822573826173947,0.06556444444444445
0.03607054298239516,0.06577472222222222
0.03721133240386314,0.06598472222222222
0.03789674800736718,0.06619472222222222
0.0404555990550108,0.06640499999999999
0.03447736091905196,0.066615
0.036571256733256764,0.066825
0.037591257383019154,0.067035
0.035932469182620545,0.06720888888888889
0.039048218726798097,0.06745527777777778
0.0386318387008751,0.06766527777777778
0.03587090015427321,0.06787527777777778
0.0354834405257856,0.06808611111111111
0.038258802018724794,0.06829611111111111
0.03793485259806737,0.06850638888888888
0.03609547826597773,0.06871638888888888
0.03685839995081605,0.06892638888888888
0.038516416978508584,0.06913666666666667
0.0392525437822372,0.06934666666666667
0.03849812915921291,0.06955666666666667
0.03666395791877887,0.06976666666666667
0.040046833108841974,0.06997694444444444
0.040707773215432154,0.07018694444444444
0.03650454957201943,0.07039694444444444
0.03750615931661251,0.07060722222222222
0.03742533339293783,0.07081722222222223
0.037605307786609574,0.07102722222222223
0.03643544202343228,0.0712375
0.03654451016023085,0.0714475
0.0385140230094405,0.07165777777777778
0.0386044182528745,0.07186777777777778
0.03986420233954318,0.07207777777777778
0.03871607498602318,0.07228777777777777
0.037910960223988835,0.07249805555555555
0.03695719138675484,0.07270805555555557
0.039264971578669094,0.07291805555555556
0.03867442415845746,0.07312833333333334
0.03766291676628862,0.07333833333333332
0.03810884791814551,0.07354833333333333
0.04013916015315929,0.07375861111111111
0.03589009852416916,0.07396888888888889
0.038920544116908644,0.07417888888888888
0.03765750299334033,0.0743888888888889
0.039169856518847065,0.07459888888888888
0.03673244573983671,0.07480916666666666
0.03895212833918936,0.07501944444444444
0.03693877028493185,0.07522944444444445
0.03904535782748285,0.07543972222222223
0.03798891595749192,0.07565
0.038384534545990855,0.07586
0.038071263375802564,0.07607027777777778
0.0389900451497168,0.07628027777777777
0.03828696717777014,0.07649027777777778
0.040473058006385655,0.07670055555555556
0.03843542431041177,0.07691055555555555
0.03945205260003131,0.07712055555555555
0.03835313023457317,0.07729444444444444
0.0389729829052016,0.07754083333333334
0.03779003869674151,0.0777511111111111
0.03842661079761258,0.07796111111111112
0.040442840543519175,0.07817138888888889
0.0395838481504556,0.07838138888888889
0.03994854514554261,0.07859166666666667
0.0378439911177338,0.07880166666666666
0.03921703443236601,0.07901194444444444
0.040422346026193184,0.07922222222222222
0.038819823679232264,0.07943222222222222
0.039309886128463346,0.07964222222222223
0.03935818594244595,0.07985222222222223
0.038054231770555356,0.08006250000000001
0.038280528842972596,0.08027277777777779
0.03933021411616269,0.08048277777777778
0.03822824359828294,0.08069305555555556
0.037023538294575734,0.08090305555555555
0.04028282431038019,0.08111305555555556
0.039198677828185334,0.08132333333333333
0.04075760922339904,0.08153333333333333
0.04111689759766905,0.08174361111111111
0.03964752025461447,0.08195361111111112
