experimental outlet,experimental inlet,experimental time (h)
0.00012190977449268216,6.32086503531297e-05,0.0
0.00010685219884610202,4.919580623353942e-05,0.00020694444444440026
0.00010300977619578048,4.2292087141724874e-05,0.0004138888888888994
9.044284883286978e-05,0.00023158306176203783,0.0006208333333332997
7.411108760780683e-05,0.0012681285505832499,0.0008277777777778005
0.00010403648768950455,0.00274231937379495,0.0010349999999999995
7.459922865172233e-05,0.00528969623133725,0.0012419444444443997
0.00010187777688575823,0.0075824980063566,0.0014488888888889006
0.00010578860184065888,0.01077001518954805,0.0016558333333332991
0.00012229907404907257,0.01428033906150835,0.0018627777777778
0.00013409508700857687,0.01836645041587425,0.0020697222222222002
9.196834162756564e-05,0.02072599292907845,0.0022766666666666994
0.00011347837855209153,0.0237002297333821,0.0024836111111110996
0.00011278839626842577,0.0266216141325545,0.0026905555555556005
7.794766150745587e-05,0.028762326177112447,0.002897499999999999
0.00012573062608532112,0.02997381618885,0.0031044444444443993
8.911110832354749e-05,0.03201078091486955,0.0033113888888889
9.879670063213425e-05,0.03356529883708545,0.003518611111111099
7.703766256295352e-05,0.035315025568446845,0.0037255555555556
6.307504885946842e-05,0.0358538466701592,0.0039325
0.00010970603914190155,0.0387395883673322,0.0041394444444444005
5.575329098520073e-05,0.037229678325602006,0.004346388888888901
6.549896728342414e-05,0.03959087910923465,0.0045533333333333
0.00010472139927089665,0.0387690561730386,0.004760277777777799
0.00010792836516571004,0.0383808065184693,0.004967222222222201
9.399023880131982e-05,0.0394223043288399,0.0051744444444444
0.0001225306624065,0.04118085425386485,0.005381388888888899
0.00011088427468250808,0.0398328137278785,0.005588333333333301
0.00013282047473129601,0.0407338421412381,0.0057952777777778
0.00014303639664423908,0.04213211929246425,0.006002499999999999
0.0001504001275029,0.0416549632904943,0.006209444444444401
0.00020853368526305,0.04128867411187495,0.0064161111111111
0.00022924642706960001,0.0403442806580183,0.006623055555555599
0.00029098684536159997,0.0437156897065035,0.006830277777777801
0.0003762386757881,0.04453271766062665,0.0070372222222222
0.0004463140352078,0.04440593324379345,0.007244166666666699
0.0005499585709317,0.043458555255686704,0.007451111111111101
0.00064397705244565,0.044261226685508,0.0076580555555556
0.0008369073167116,0.04243311783624695,0.007864999999999999
0.0009947485848262,0.04376853396074985,0.0080719444444444
0.00107463169156575,0.0464471979683181,0.0082788888888889
0.0013200906158898,0.0425603951297116,0.008485833333333298
0.00147399811319315,0.0482141144932964,0.008692777777777801
0.0017310413756234499,0.0431406333329509,0.0088997222222222
0.0018747071660268999,0.04580507347085075,0.009106666666666699
0.0022462684660444,0.0439485889969136,0.0093136111111111
0.0025627804158718003,0.046130401160627846,0.0095205555555556
0.00253693739076845,0.04626991946079395,0.009727499999999998
0.0027098959330059003,0.04836766655391635,0.0099344444444444
0.0030980176772992998,0.044371926556267205,0.0101413888888889
