H2S concentration in g/m^3,DMS concentration in g/m^3,mm concentration in g/m^3,Time in h
1.0369746092789004e-05,0.00020600229937651392,0.00011430708967786893,0.11294472222222222
7.0116053822385424e-06,0.00019327838888654348,0.0001063365966936107,0.11343166666666667
2.17930099130881e-05,0.00018683327588417972,0.0001001080037109089,0.11391861111111112
1.1095237105247926e-05,0.00016928258561640995,8.610324655277971e-05,0.11440527777777777
0.0,0.0001513204659225082,8.217924538366232e-05,0.11489222222222223
3.3091389536495997e-06,0.00013590794268352792,6.825418981135412e-05,0.11537888888888888
1.02270726949427e-05,0.00013243159786073503,5.6672617070042764e-05,0.11586611111111111
2.238181008477664e-05,0.00012962122160505463,5.443444574088228e-05,0.11635305555555556
2.644814124081703e-05,0.00010924007899071415,4.72248632600233e-05,0.11684055555555554
1.4542672712518187e-05,0.00010846850847143792,5.473170283793866e-05,0.11732722222222222
2.1487452926535804e-05,0.00010543960705907272,4.494084683377953e-05,0.11781388888888888
1.4107719202520857e-05,9.67624984448539e-05,4.148611365731399e-05,0.11830083333333333
1.0170221987769962e-05,9.100426228418317e-05,3.7751648983135324e-05,0.1187875
7.131391233330464e-06,9.500685276554837e-05,3.632790437263367e-05,0.11927416666666667
9.824954829817735e-06,7.937520513329542e-05,3.308375668174525e-05,0.11976111111111111
1.469763517547571e-05,8.576244397472729e-05,3.147293132797249e-05,0.12024777777777777
3.433183836010521e-06,7.560136114977064e-05,2.8909572441615937e-05,0.12073500000000001
1.4193968130822842e-05,8.067768392030528e-05,3.0719490506772727e-05,0.12122166666666667
2.4106243419081718e-05,7.127602742466795e-05,3.348179618207059e-05,0.12170833333333332
3.49903183387784e-06,7.490284852762834e-05,3.105865007139115e-05,0.12219527777777778
2.123563889348217e-05,6.878566552762609e-05,2.8246333453118687e-05,0.12268194444444444
3.414222406233056e-06,6.835281364255544e-05,2.802293471894104e-05,0.1231688888888889
1.0242526713646578e-05,6.991375244746739e-05,2.494871843212023e-05,0.12365555555555556
1.6467080815569582e-05,6.502436331364106e-05,2.662072809761113e-05,0.1241425
2.1281326606104217e-05,6.54233227296592e-05,2.4934607382835225e-05,0.12462916666666667
7.108552652353211e-06,6.16432715947489e-05,2.439855696618865e-05,0.12511611111111112
2.078311377726873e-05,6.484634791032896e-05,2.304196210488717e-05,0.12560277777777779
1.0182847043428994e-05,5.531325491198701e-05,2.533036170380596e-05,0.12608972222222223
1.0086858754364605e-05,5.784396162465865e-05,2.1480013356318277e-05,0.1265763888888889
1.3846306604843564e-05,5.919616372938666e-05,2.3478858974774855e-05,0.12706333333333333
1.7047711470611207e-05,5.774782180614914e-05,2.399120179070194e-05,0.12755027777777778
1.0830872704904932e-05,5.527139149452933e-05,2.2045308768578674e-05,0.12803722222222222
1.332119996377339e-05,5.2820556464096846e-05,1.9872337813281236e-05,0.12852416666666666
1.7462908515646167e-05,5.37886388907283e-05,2.3553272987225892e-05,0.12901083333333335
9.838065994597863e-06,4.81360408756028e-05,1.8704029426673598e-05,0.1294975
2.5069959470465623e-05,5.461679308039291e-05,2.4106203251855148e-05,0.12998444444444446
2.13079445860763e-05,5.456997982454977e-05,1.784958220457525e-05,0.1304713888888889
2.6919930417828663e-05,4.783100933940521e-05,1.8815695952788727e-05,0.13095833333333334
7.0584966978132995e-06,4.9727650998095315e-05,1.738165005683627e-05,0.131445
2.2249085163529843e-05,5.409228038047923e-05,1.9396254853305294e-05,0.13193194444444445
9.735538079899482e-06,4.338438940853041e-05,1.4315976707912503e-05,0.1324188888888889
1.0430254158664353e-05,4.3152479260357104e-05,1.9584826072008548e-05,0.13290555555555555
1.0867618681122713e-05,4.355432493410174e-05,1.933861382706955e-05,0.13339222222222222
1.0077663077707457e-05,4.432597961014332e-05,1.5788744752906347e-05,0.13387944444444444
6.8561814620414356e-06,4.547443105534957e-05,1.7324467743276964e-05,0.1343661111111111
1.3341895477256567e-05,3.9038423614721136e-05,1.6476590040040037e-05,0.13485333333333333
1.0511164098398102e-05,4.1676878336306335e-05,1.4828545156467355e-05,0.13534
7.039918596358705e-06,4.032345389782537e-05,1.699637083398583e-05,0.13582722222222224
3.6415858138162726e-06,5.11339559080566e-05,1.7427142685184015e-05,0.1363138888888889
2.3817223133439283e-05,4.0123343097908e-05,1.3825408264925241e-05,0.13680083333333334
1.6472033482053753e-05,4.006827624699848e-05,1.6700608508672378e-05,0.1372877777777778
1.062200324952769e-05,4.228068264865019e-05,1.5126195791167957e-05,0.13777472222222223
6.639728648157159e-06,3.8265855654679306e-05,1.6616936122810492e-05,0.1382613888888889
2.559669696371658e-05,4.183368143134458e-05,1.62084655670428e-05,0.13874805555555556
1.4801025863054077e-05,4.276404227292479e-05,1.6337205839744354e-05,0.139235
7.0573954577747305e-06,4.3745018487068534e-05,1.5383326400263525e-05,0.13972166666666666
1.716708861391192e-05,4.2536677957427394e-05,1.3368479814001039e-05,0.14020833333333332
3.067482761380831e-05,4.055827133243238e-05,1.5052329884027502e-05,0.14069527777777777
1.3535799216216689e-05,3.757405410156401e-05,1.3934292385381652e-05,0.14118194444444443
1.0709958035841499e-05,4.170552157551898e-05,1.2773818513869802e-05,0.14166916666666668
1.9039787066449523e-05,3.452274011650313e-05,1.286100743780189e-05,0.14215583333333334
7.0213053151572905e-06,3.5685199830895735e-05,1.4336624755384116e-05,0.14264277777777778
1.4908072492313053e-05,3.958310139016134e-05,1.6170607793811282e-05,0.14313
