m/z 35.00 ch3;37/21;Relative Time
0.9893323;7.431807617;0.756
1.122614972;7.086785474;1.512
0.997713732;7.319712598;2.269
1.118105668;7.246273466;3.025
0.827899148;7.073865035;3.781
1.070326236;7.313039217;4.538
1.111390038;7.461170537;5.294
0.929574709;7.237775088;6.051
0.844925139;7.183454084;6.807
0.738857585;7.204080294;7.564
0.797798707;7.311657484;8.321
1.072491502;6.995676698;9.078
1.157563739;7.084301722;9.834
1.11929826;7.414641595;10.59
0.971459842;7.029014301;11.346
1.064977245;7.244376276;12.103
1.264206194;7.226441368;12.859
0.867505574;6.792989756;13.616
1.545767282;6.945689279;14.372
0.904629344;7.23058238;15.129
0.964265855;6.92969387;15.885
0.800143636;6.522911795;16.642
1.208350521;6.753861469;17.398
0.610320004;7.097652985;18.154
0.684985579;6.838530656;18.91
1.090637761;7.201142412;19.667
1.096120568;6.83320915;20.423
1.061503493;7.171196601;21.18
1.179353156;7.135011916;21.936
0.678249653;7.078273493;22.693
0.901339999;7.091962578;23.449
0.664222884;6.773217779;24.205
0.711277942;7.108090509;24.961
0.934764734;6.958071895;25.717
0.952190584;6.99290825;26.474
0.68239813;7.104451239;27.23
0.939046984;7.198187419;27.987
1.432961594;7.039381398;28.743
0.918667015;7.169411521;29.5
0.861130666;6.659247144;30.256
1.00349036;6.802350118;31.012
0.685411408;7.311415249;31.769
0.728510762;7.013665901;32.525
1.450767066;7.336370698;33.282
1.023900755;7.176712527;34.038
0.814584553;6.786381014;34.794
1.176799149;7.321129474;35.55
0.784985314;7.136349004;36.307
1.218810848;7.579379046;37.063
1.118870038;6.711816859;37.82
0.824275062;7.087321174;38.576
1.242818398;7.379212012;39.333
0.990615907;7.350652201;40.089
1.19755137;7.042028327;40.845
0.749076026;6.773091918;41.601
0.523021342;6.768916772;42.357
0.668299617;7.026331777;43.114
0.908272283;6.982591098;43.871
1.00954986;6.843078889;44.627
0.85066691;6.870321743;45.383
0.573884914;6.942359598;46.14
0.519839594;7.066396846;46.896
1.072979138;7.114909947;47.652
0.487534403;7.488654456;48.409
