m/z 35.00 ch3;37/21;Relative Time
0.127587372;8.682208274;0.756
0;7.577612187;1.512
0.061362659;8.117145987;2.268
0.122418086;7.685752711;3.025
0;8.15049489;3.781
0.169186732;7.659499952;4.538
0.061122568;7.869825474;5.295
0.239904424;8.037054146;6.051
0.058636081;7.613857422;6.808
0.119248116;7.958881182;7.564
0.183054302;8.15283546;8.321
0.060084513;8.142575822;9.077
0.116421598;7.797201074;9.833
0.058410934;7.857965355;10.59
0.059549327;7.717969481;11.347
0;7.292032306;12.103
0;7.987773418;12.859
0.120521867;7.965189171;13.616
0.174672676;7.920777768;14.372
0.059475314;8.362156274;15.128
0.23321098;8.248137959;15.885
0.059016632;8.203899235;16.641
0;8.471556657;17.397
0;7.577102923;18.153
0.115897673;7.670309776;18.91
0.057948649;8.027063479;19.666
0;7.644268069;20.422
0.057030011;7.711583816;21.179
0.11923189;8.318527309;21.935
0.057267549;8.262777988;22.691
0.121694324;8.878177933;23.448
0.059368028;7.97668919;24.204
0.058285466;7.974999859;24.96
0;7.665789343;25.716
0;8.443121137;26.473
0.118670548;8.327833373;27.229
0;7.872260958;27.985
0.061272959;9.060752344;28.741
0.057022463;7.997905254;29.497
0;8.495564974;30.253
0.057270791;7.955072021;31.01
0;7.8045141;31.766
0.119199027;8.414945941;32.523
0;8.385542293;33.279
0.057307036;7.93713488;34.035
0.118094353;8.299545593;34.792
0.058349008;8.054535378;35.548
0;8.232445514;36.304
0;8.450973843;37.06
0.05736664;7.810530789;37.816
0.058021675;8.353304542;38.572
0.115116481;8.280537088;39.33
0.118441088;8.326934467;40.086
0.112185232;8.043968414;40.842
0;8.468410904;41.599
0.170793571;8.544819104;42.355
0;8.24078122;43.112
0.117032061;8.206708982;43.869
0.055953381;7.819744029;44.625
0.116646357;7.876674424;45.382
0.057107726;7.712491728;46.138
0;8.007497043;46.763
0;8.28432709;47.651
0.057301584;8.109306132;48.407
0.115124195;7.851414394;49.163
0.058445083;8.367942487;49.92
0.056700498;8.160162829;50.676
0.166916037;7.934481151;51.433
0.056877411;8.396414973;52.19
0.164181924;7.620298646;52.946
0.056501549;7.804786243;53.702
0.055748141;7.61833781;54.459
0.05911364;8.482880208;55.215
0.055794875;7.785341186;55.971
0.172386697;8.463232045;56.727
0.056245701;8.037816648;57.484
0.058788526;8.860173597;58.24
0.056878486;8.115749173;58.997
0.056419877;8.552598535;59.753
0.170877433;8.297007191;60.51
0.057400109;8.196495239;61.266
0.055684965;7.961451364;62.022
0;8.026691579;62.779
0;8.306832998;63.535
0.116871623;8.551952169;64.292
0.115531234;8.180385352;65.05
0.055824383;8.117871628;65.807
0.110540668;8.298899519;66.563
0.057090573;8.117684438;67.319
0.110599734;8.115681254;68.075
0.055129102;7.874460513;68.832
0.058173894;8.270836413;69.589
0.055236255;8.042391093;70.345
0.109729043;7.855715932;71.103
0;8.507809248;71.86
0.113012429;8.387813882;72.616
0.055145739;8.067044454;73.241
0.054004322;7.910182221;74.13
0.112361525;7.998991613;74.886
0.057032721;8.192044434;75.642
0;7.957082996;76.399
0;8.231997808;77.155
0;8.36971566;77.911
0.055934954;8.806954596;78.668
0.056850865;8.351984832;79.424
0;8.354470114;80.18
0.111765353;8.514686364;80.937
0.110504852;8.246286923;81.693
0.058003548;8.69122702;82.45
0.113944345;8.391089042;83.206
0.115439995;8.345058434;83.962
0.169044904;7.965243466;84.718
0.056959452;8.286360589;85.475
0.170049625;8.000033157;86.231
0.164719496;7.744122984;86.987
0.222094029;8.202110013;87.743
0.22832173;7.824039844;88.5
0.109999671;8.082088569;89.257
0.168384647;7.827258677;90.013
0.05612965;8.24925212;90.769
0.056240993;8.376288628;91.525
0.163626611;7.917340236;92.282
0.05470945;8.018470074;93.038
0;8.149167909;93.795
1.379753385;8.001066153;94.551
7.305874524;8.321130679;95.307
9.387372347;8.453762044;96.063
11.34647382;7.903350269;96.819
9.016630165;8.694767606;97.576
7.062958537;8.465737343;98.332
9.514903159;7.991595247;99.088
26.44974671;8.572996269;99.845
48.38681812;8.75472174;100.602
86.71118365;7.885837272;101.359
114.8223335;8.005044666;102.115
169.9722659;8.196844635;102.872
223.8988024;8.542677267;103.63
274.6053832;8.268077971;104.386
327.0699343;8.190219272;105.142
388.077157;8.430300788;105.899
432.8213531;8.500044751;106.655
485.2215024;8.577315392;107.414
551.4726136;8.580756221;108.171
560.4452903;8.176802447;108.928
626.1473044;8.30351342;109.684
661.2585178;8.990480073;110.44
677.4836216;8.818272488;111.196
667.4151262;8.191418948;111.953
722.9563926;8.692954739;112.709
738.2208155;8.403964017;113.465
753.9437096;8.140766146;114.223
776.1671747;8.891763062;114.981
784.4259498;8.328259244;115.737
780.6993452;8.308118659;116.494
795.7342002;8.477974613;117.251
780.6700491;8.31530872;118.007
795.4339535;8.214675555;118.763
813.6033978;8.249298098;119.519
830.3945424;8.550465847;120.275
875.0393464;8.589318576;121.034
896.7887067;8.453539572;121.79
847.9295203;8.199536489;122.547
884.6329944;8.095035315;123.303
857.770451;8.279334169;124.06
903.9450357;8.249779723;124.817
917.9120243;8.693641315;125.573
876.9574948;8.288190133;126.33
937.1838366;8.945747519;127.086
910.4507407;8.580977315;127.843
949.7057928;9.257712891;128.599
916.8284782;8.916072551;129.355
925.7651321;8.666365263;130.112
941.3103515;8.517980777;130.868
932.7526073;8.629966175;131.625
895.4334518;8.160275317;132.381
916.0753405;8.423734632;133.137
918.217872;8.311597068;133.894
943.8814913;8.852080936;134.65
916.6266118;8.428756307;135.406
947.3222375;8.384499293;136.163
948.020469;8.99544863;136.921
957.5341524;9.050351078;137.678
948.4990148;8.514645911;138.434
937.2611248;8.225924904;139.191
963.9511042;8.787458;139.947
979.009938;9.071990218;140.704
998.9463511;9.092848043;141.46
946.3422966;8.795460328;142.217
947.5418573;8.15020657;142.973
953.2067441;8.472818357;143.731
