m/z 35.00 ch3;37/21;Relative Time
3.590270413;7.847362488;0.756
2.953862185;7.030911208;1.512
2.433397986;7.109634904;2.269
2.996505503;6.955079801;3.025
3.165071184;7.227898891;3.782
2.97667401;6.796007598;4.54
2.588391283;7.15007276;5.296
3.356082349;7.1850075;6.053
2.161041;6.447867795;6.809
1.8282108;7.044085879;7.565
3.093422894;6.958402488;8.321
2.560200766;6.862129081;9.078
2.561027373;6.968746272;9.834
2.22203844;6.863795288;10.591
3.224030494;6.665129112;11.347
2.543089964;7.179639019;12.103
2.32600749;7.039160475;12.86
2.973605095;6.801911933;13.616
3.08998648;7.177879623;14.372
2.282288811;7.102301868;15.129
2.842024033;7.333994076;15.885
2.703470753;6.722874634;16.641
2.648902582;6.821127279;17.397
2.416145759;6.657457422;18.154
2.749673773;6.989275569;18.91
2.807979413;7.150265823;19.667
2.443048651;7.357971852;20.423
3.032336915;6.920604958;21.181
2.854543537;7.081779521;21.939
2.210272368;6.902275468;22.695
2.567951266;6.71198219;23.452
2.732067308;7.503585218;24.208
2.15154293;7.012836;24.965
3.239961131;7.167876778;25.721
2.697131104;6.991473792;26.477
2.352074791;6.620248061;27.234
2.597356025;6.715947461;27.99
2.307631222;7.276584851;28.746
2.265035443;7.039162508;29.503
2.684894583;7.000483972;30.259
2.463293165;7.108688524;31.015
3.107478681;7.038772221;31.772
2.891010745;6.740135291;32.53
2.545191567;6.992089942;33.286
2.768558589;6.977551472;34.042
2.734797655;6.579816062;34.799
2.586888458;7.078316413;35.555
2.198079429;7.039261373;36.312
2.819860253;6.677508162;37.071
2.48455216;6.78964533;37.827
2.283633865;7.050763889;38.583
2.470849275;6.825051302;39.34
2.846858289;7.007499324;40.096
2.548504476;6.934607434;40.853
3.256199623;7.205638096;41.609
2.361613106;6.976552033;42.366
2.381604253;6.775685486;43.124
3.025163305;6.813366601;43.881
3.03798782;7.201731556;44.637
2.390420719;6.855842706;45.393
3.371050325;6.927739103;46.15
2.257888992;6.809224218;46.906
2.99220433;6.795557261;47.663
1.997223135;6.888106411;48.419
3.274098106;7.465880188;49.175
2.76520998;6.77538744;49.932
2.498203085;6.92310616;50.688
2.556613287;7.368703031;51.444
2.08346935;6.933423432;52.201
3.107940363;6.949508295;52.957
2.977024831;6.557693041;53.713
2.462736031;7.344232874;54.469
