model,model time(h)
0.0,0.0
0.0004411147673748676,0.0045662100456621
0.007472622789331905,0.0091324200913242
0.009137895087916438,0.0136986301369863
0.01081019555438021,0.0182648401826484
0.012482157545711919,0.0228310502283105
0.014151368503700704,0.0273972602739726
0.01581484529930419,0.0319634703196347
0.017467503830058004,0.0365296803652968
0.019104203535502892,0.0410958904109589
0.02072041964508551,0.045662100456621
0.022309748711410077,0.050228310502283095
0.023866792189479378,0.0547945205479452
0.02538858841179459,0.0593607305936073
0.026872175710856913,0.0639269406392694
0.02831459241916752,0.0684931506849315
0.029713479421795162,0.0730593607305936
0.031066495255395156,0.07762557077625569
0.032371575205390156,0.0821917808219178
0.03362836501992367,0.0867579908675799
0.034837328388028124,0.091324200913242
0.03599892899873594,0.0958904109589041
0.03711363054107955,0.10045662100456619
0.03818189670409136,0.1050228310502283
0.03920419117680379,0.1095890410958904
0.0401811749329203,0.1141552511415525
0.04111401129596215,0.1187214611872146
0.04200438051544149,0.12328767123287669
0.04285376110592584,0.1278538812785388
0.04366357491633606,0.1324200913242009
0.04443524379559301,0.136986301369863
0.04517018959261754,0.1415525114155251
0.0458698341563305,0.1461187214611872
0.04653559933565276,0.1506849315068493
0.04716890697950516,0.15525114155251138
0.047771178936808587,0.15981735159817353
0.04834363057545978,0.1643835616438356
0.04888682671588509,0.1689497716894977
0.049403031252780116,0.1735159817351598
0.04989413205605157,0.1780821917808219
0.05036188443721411,0.182648401826484
0.05080713612999647,0.1872146118721461
0.05123073486812739,0.1917808219178082
0.051633528385335595,0.1963470319634703
0.05201636441534985,0.20091324200913238
0.05238009069189886,0.2054794520547945
0.05272555494871138,0.2100456621004566
0.05305360491951616,0.2146118721461187
0.05336508833804191,0.2191780821917808
0.053660852938017395,0.2237442922374429
0.05394174645317133,0.228310502283105
0.05420861661723246,0.2328767123287671
0.05446231116392953,0.2374429223744292
0.05470367782699127,0.2420091324200913
0.05493205039698837,0.24657534246575338
0.05514975428403404,0.2511415525114155
0.05535637099411333,0.2557077625570776
0.055553433843949895,0.2602739726027397
0.05574175064141429,0.2648401826484018
0.055921597336094406,0.2694063926940639
0.056093249877578105,0.273972602739726
0.056256984215453276,0.2785388127853881
0.056413076299307786,0.2831050228310502
0.056561802078729524,0.2876712328767123
0.056703437503306364,0.2922374429223744
0.05683825852262618,0.2968036529680365
0.05696654108627684,0.3013698630136986
0.057088561143846236,0.3059360730593607
0.057204594644922245,0.31050228310502276
0.057314917539092736,0.31506849315068497
0.05741980577594559,0.31963470319634707
0.057519535305068675,0.3242009132420091
0.05761438207604988,0.3287671232876712
0.05770462203847708,0.3333333333333333
0.05779053114193815,0.3378995433789954
0.05787238533602096,0.3424657534246575
0.0579504605703134,0.3470319634703196
0.05802503279440334,0.3515981735159817
0.058096037911165424,0.3561643835616438
0.058163462296911383,0.3607305936073059
0.05822813687095522,0.365296803652968
0.0582898372116282,0.3698630136986301
0.058348575646872805,0.3744292237442922
0.05840497239904888,0.3789954337899543
0.05845908746818626,0.3835616438356164
0.05851098085431479,0.3881278538812785
0.05856071255746431,0.3926940639269406
0.05860834257766463,0.3972602739726027
0.05865393091494561,0.40182648401826476
0.058697537569337065,0.406392694063927
0.05873922254086884,0.410958904109589
0.05877904582957076,0.4155251141552511
0.05881706743547267,0.4200913242009132
0.05885334735860441,0.4246575342465753
0.05888794559899578,0.4292237442922374
0.05892092215667665,0.4337899543378995
0.05895233703167684,0.4383561643835616
0.058982250224026186,0.4429223744292237
0.05901072173375452,0.4474885844748858
0.059037811560891676,0.4520547945205479
0.059063579705467495,0.45662100456621
0.05908808616751181,0.4611872146118721
0.059111390947054435,0.4657534246575342
0.059133554044125236,0.4703196347031963
0.05915463545875402,0.4748858447488584
0.059174695190970635,0.4794520547945205
0.05919379324080491,0.4840182648401826
0.05921198960828669,0.4885844748858447
0.0592293442934458,0.49315068493150677
0.05924591729631207,0.497716894977169
0.059261768616915345,0.502283105022831
0.05927695825528544,0.5068493150684932
0.05929152848722141,0.5114155251141552
0.05930546479627406,0.5159817351598173
0.05931880388966963,0.5205479452054794
0.059331588714798336,0.5251141552511416
0.059343848934734246,0.5296803652968036
0.05935555759704827,0.5342465753424657
0.05936673183072595,0.5388127853881278
0.05940261252027626,0.54337899543379
0.059091747795746566,0.547945205479452
0.05359218104588556,0.5525114155251141
0.051106301575314546,0.5570776255707762
0.04942667749119116,0.5616438356164384
0.04776232503600711,0.5662100456621004
0.04609901520152921,0.5707762557077625
0.044440761356231165,0.5753424657534246
0.042790011795241785,0.5799086757990868
0.04115213443711599,0.5844748858447488
0.0395324972004084,0.5890410958904109
0.037936468003673784,0.593607305936073
0.03636788293204723,0.5981735159817352
0.0348327291347916,0.6027397260273972
0.03333640262388622,0.6073059360730593
0.03188054167539277,0.6118721461187214
0.03046678456537285,0.6164383561643836
0.029096769569888208,0.6210045662100455
0.02777213496500036,0.6255707762557077
0.02649451902677094,0.6301369863013699
0.025264405046545813,0.634703196347032
0.024082648316075414,0.6392694063926941
0.022949211768041693,0.6438356164383561
0.021862967789553666,0.6484018264840182
0.020822788767720535,0.6529680365296804
0.019827547089651384,0.6575342465753424
0.018876115142455352,0.6621004566210045
0.017967365313241467,0.6666666666666666
0.01710016998911893,0.6712328767123288
0.016273401557196823,0.6757990867579908
0.01548640061602679,0.6803652968036529
0.014736967766091154,0.684931506849315
0.014022845197033902,0.6894977168949772
0.013342753355713612,0.6940639269406392
0.01269541268898891,0.6986301369863012
0.01207954364371835,0.7031963470319634
0.011493866666760583,0.7077625570776256
