Relative Time;37/21;m/z 35.00 ch3
0.756;6.14121786;1.07845137
1.512;5.952286784;1.086659912
2.268;5.481864226;0.879250058
3.024;6.019347059;0.868398711
3.781;6.12757977;1.252781434
4.537;5.615522234;0.942843493
5.294;6.175305971;1.081648708
6.05;6.690057955;1.266141846
6.807;5.915447502;0.828296527
7.563;5.960293155;0.928802681
8.319;5.574512344;0.522146976
9.075;5.655233998;1.119389365
9.831;5.627248821;0.867881874
10.587;5.963046934;0.932543764
11.344;5.71640828;0.838415974
12.1;6.259414506;1.127338433
12.857;6.108328202;1.135055679
13.613;5.999015628;1.029862632
14.369;6.191473812;1.037540377
15.126;5.891577617;0.782633042
15.882;5.732571374;0.842952673
16.638;5.715756994;0.974848043
17.394;6.250029134;0.811769294
18.151;5.563302767;1.276880247
18.907;5.498796255;0.947853988
19.665;5.985835865;1.24764527
20.422;5.813981335;0.847662813
21.18;5.674902062;0.949790773
21.936;5.955375435;1.109994579
22.693;5.904789616;1.342859477
23.449;6.26068093;0.750437312
24.205;5.944871304;1.422370777
24.964;5.498842156;0.70992148
25.72;5.781589456;0.909267105
26.477;5.928233615;0.821567165
27.234;5.610020183;0.889965816
27.99;6.399818975;0.561218691
28.746;5.988050793;0.801096971
29.502;5.525810563;0.971919969
30.259;5.553377543;1.116339319
31.015;5.42123303;0.744045532
31.772;6.356576748;0.890404574
32.528;5.714309962;0.741997761
33.285;5.962514276;0.528923272
34.042;5.879747696;0.745955854
34.798;6.016250724;0.976419573
35.554;6.16570334;0.691012761
36.311;6.252552268;0.919291976
37.067;5.994863102;0.831045738
37.823;5.974625088;0.469382253
38.579;5.809970909;1.262080038
39.335;5.959621416;0.702699234
40.092;5.862969684;0.975866492
40.848;5.813398464;0.909798312
41.605;5.705152981;0.844038265
42.23;6.178371006;1.206077476
43.117;5.643539845;0.832022492
43.874;5.698044478;1.05701689
44.631;5.905263907;0.908587513
45.388;5.955082113;0.67998146
46.144;6.277696102;1.07716975
46.9;5.894396625;0.904281714
47.656;6.132762675;1.120598083
48.413;5.904692419;0.712548619
49.17;6.099721904;0.936133486
49.927;5.936263352;1.030384748
50.683;6.123708528;1.775694679
51.439;5.600218343;1.709520724
52.196;5.734084246;3.063370637
52.952;5.975515184;5.477496181
53.708;5.70844453;6.686147738
54.465;5.557154027;10.18617182
55.221;5.551816448;13.6591024
55.978;6.013100045;18.79395196
56.734;5.967369611;26.84623089
57.49;5.622343337;33.0916353
58.247;6.160026531;47.90143492
59.003;6.150820525;56.26727958
59.76;6.20779483;71.14532764
60.516;5.564778674;80.40712281
61.272;6.190016194;99.49808399
62.029;5.549907831;102.9832086
62.785;6.171483859;123.7608158
63.542;6.007910529;132.0720416
64.298;5.906813737;156.3427252
65.055;6.031695483;168.276918
65.811;5.770198065;175.3246112
66.568;5.951824332;188.1803675
67.324;5.961839396;188.5526138
68.081;5.757747425;197.2536471
68.706;6.059188931;209.653131
69.594;5.947266142;227.5597059
70.35;5.708924816;227.2450666
71.107;5.986867941;243.7399866
71.863;5.877633395;236.9147602
72.62;5.849459212;247.5702129
73.376;5.894254904;251.0428714
74.132;6.307795157;261.2709138
74.889;5.868230076;269.6314694
75.645;5.797343233;277.8369932
76.403;6.371931722;291.0610304
77.16;6.263212303;290.3574209
77.916;6.241876923;300.3837596
78.673;5.817173667;279.9816673
79.43;5.677786561;294.5980193
80.186;6.109787942;296.2257396
80.942;6.452767845;298.7685413
81.698;6.318460511;311.2823224
82.455;5.789496866;304.5855413
83.211;5.801261949;311.187124
83.967;6.195295728;333.9298147
84.725;6.049763919;318.8582416
85.482;6.135122004;345.0178682
86.238;6.056793745;346.2091904
86.995;6.005842361;328.2847891
87.751;5.816049335;336.4859559
88.508;6.001021699;349.7499169
89.264;6.316351421;356.161064
90.02;5.893840805;340.345107
90.777;6.344543363;364.6955404
91.533;6.076345935;350.7570761
92.289;6.341964543;351.9951289
93.045;6.413512316;364.4410232
93.802;5.847842841;348.2151704
94.558;5.801665647;361.6034145
95.315;6.059140525;375.5887321
96.072;5.849541886;370.5386906
96.828;5.477999372;362.1542917
97.585;5.784759548;374.2288356
98.342;5.660309389;376.5318146
99.098;5.740322603;379.4583552
99.855;6.00395421;387.7904137
100.611;6.039202461;375.126693
101.367;5.950766379;398.1674931
102.125;6.05024127;395.1721222
102.882;5.866565925;391.5147049
103.638;5.713641294;391.2706377
104.394;5.96528713;410.9020157
105.151;5.914058796;422.8537053
105.907;5.583395209;406.9597046
106.664;5.985064416;427.0913813
107.42;5.965525829;402.1571849
108.177;6.199033752;424.2159235
108.933;5.830981072;402.492786
109.689;6.048103826;402.7905926
110.446;5.569950678;411.839909
111.202;6.111681971;434.5599746
111.829;6.0869824;428.8787541
112.717;5.950764277;424.1489108
113.473;5.922632092;410.5109919
114.229;5.646024822;424.5832004
114.986;5.978442931;424.2453114
115.742;5.517761255;429.1561298
116.499;6.19167479;449.3153837
117.255;6.428247944;452.8107991
118.012;5.871363589;436.6361752
118.768;5.915454149;425.744046
119.524;6.076513425;431.0570227
120.281;5.758889829;434.5083696
121.037;6.155355435;428.6751646
121.793;5.828517193;436.6348717
122.55;6.182824481;443.0853884
123.306;5.70947107;429.7196971
124.063;5.782987666;427.006057
124.819;6.012266491;426.6219088
125.575;6.090216633;445.659128
126.333;6.165880744;438.4407763
127.089;5.797469503;436.7960024
127.846;5.796648793;433.1872295
128.602;6.128430334;451.2687841
129.359;5.482400406;436.739427
130.115;5.91123831;432.8647128
130.871;5.84952627;443.5048793
131.628;5.847896382;458.5186402
132.384;6.126822962;472.0561689
133.141;5.782992296;439.9637788
133.897;5.943192392;465.5170057
134.654;5.908668556;473.4915796
135.41;5.715673781;445.8796491
136.167;6.001919641;461.7891
136.924;5.823724935;463.8424935
137.68;5.458869664;455.6436065
138.305;5.958799169;472.3732051
139.194;6.117731289;492.0689438
139.95;5.876666057;481.7612757
140.707;5.865733209;476.1645247
141.463;6.036939196;477.3204325
142.22;6.052276158;483.6370534
142.976;5.851595805;484.4196074
143.732;5.994394543;479.8107868
144.489;5.806029691;463.0775682
145.246;6.226443562;493.9090711
146.002;5.963373405;477.6481468
146.758;5.930656576;485.564618
147.515;5.599297826;454.9250135
148.271;6.036960486;482.9249425
149.028;5.718307963;482.5701071
149.784;5.738197472;497.191688
150.54;6.160302;509.7423465
151.297;6.346280247;519.7399868
152.053;5.987619407;503.9015572
152.809;6.097942052;513.2313643
153.566;5.852625879;514.4954087
154.323;5.991486449;500.904815
155.08;5.712274604;517.1873714
155.836;5.822333244;511.7414472
156.592;5.839049538;520.921992
157.349;6.214242243;526.4140164
158.105;5.862258664;501.2230063
158.862;5.922217951;504.6165075
159.618;5.673550748;499.6967255
160.374;5.848553827;507.7334797
161.13;6.127666394;498.599901
161.887;6.052270854;508.802452
162.643;5.951102005;539.8215901
163.399;5.983018186;551.7282213
164.156;6.332534341;547.9035518
164.912;6.088677054;533.8455568
165.67;6.094303056;528.9200455
166.427;6.341968701;533.4441221
167.183;5.748748935;491.737336
167.942;6.117965319;543.3231283
168.699;6.245254332;519.7105677
169.455;6.406804964;537.8258159
170.212;5.741652453;531.1034985
170.969;6.265143871;543.8133192
171.726;6.345410903;554.7657922
172.482;5.870963474;543.6866148
173.238;6.064323673;535.7329597
173.994;5.763453817;530.9257049
174.75;5.965193951;547.3993237
175.507;5.864906505;550.9942787
176.263;6.128752128;556.6911598
177.019;5.619781442;537.4714713
177.775;5.865498902;541.7738542
178.532;5.909772124;551.8861155
179.288;6.139540014;557.784198
180.044;5.727040395;555.4260048
180.8;5.717079042;555.1039361
181.557;6.019588463;571.498717
182.313;6.04217965;552.0757519
183.069;5.901665223;556.7279813
183.825;6.142135858;573.896229
184.582;6.096206923;561.4531384
185.338;5.522763265;554.870184
186.095;5.921017869;573.4588699
186.851;6.12484429;565.0823153
187.608;6.257338627;581.6412749
188.364;5.736765018;580.6318501
189.12;5.936473388;568.04877
189.877;6.071781183;539.8196229
190.633;5.582589164;544.1950288
191.258;6.394257185;577.9550283
192.146;6.142533316;588.2487732
192.902;6.079024216;581.8908656
193.659;6.346184087;597.5833227
194.415;5.569073188;547.1013137
195.172;6.062404538;594.7726807
195.928;5.714310268;582.9759327
196.684;5.947928288;582.0976196
197.441;5.599282592;574.049393
198.197;6.036408147;581.8794185
198.953;6.258466189;596.0657442
199.711;5.524394214;613.1052882
200.468;5.754032413;576.9101757
201.224;5.84691595;590.2809654
201.981;6.020093301;590.2143189
202.737;6.083475952;588.9805158
203.494;5.850784841;586.9530295
204.25;5.990678259;587.5184129
205.006;6.151356292;592.9512685
205.763;5.992430814;604.8131054
206.52;5.833751669;600.4540902
207.276;5.799747496;580.6651762
208.033;5.970389292;598.2477048
208.79;6.078085218;605.2347227
209.546;5.803512731;616.4912597
210.303;5.929314455;612.8144294
211.06;5.784475991;610.0680997
211.816;5.704380405;594.9912143
212.572;6.291612511;630.4282326
213.329;5.899202169;625.9747934
214.085;6.094300749;625.0085894
214.842;5.906978708;610.2683287
215.599;5.923682525;595.8681567
216.355;6.05990134;624.0216024
217.111;5.516946316;599.2255275
217.87;6.359680287;642.419589
218.626;6.066495115;645.9729451
219.382;5.748840292;607.9189996
220.141;6.023389048;620.2855363
220.897;6.241939189;663.4077061
221.654;5.767600391;624.5035244
222.41;5.703446669;627.056286
223.166;6.281508854;658.3313378
223.923;6.480964768;651.2012323
224.679;5.832178213;635.4947881
225.435;5.85846954;631.0198097
226.195;6.149503009;633.9370416
226.951;6.427220782;641.9022162
227.707;5.798838504;599.9160313
228.464;5.879042842;636.2135773
229.22;6.286578158;652.6717208
229.977;6.030200924;628.9239297
230.733;6.114395811;655.8516763
231.489;5.734485694;627.6459391
232.245;6.066790198;644.3860681
233.002;5.986518946;645.3800489
233.759;5.736890803;629.4965636
234.515;5.900316415;660.75805
235.272;6.282905926;682.1117021
